RowType,Month,DocNumber,Account,Class,Amount,Memo
JE Header,2025-06,3PL-ALLOC-Jun2025,,,3941.79,"Channel allocation for Jun 2025: $3,941.79 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (175 units) and TikTok (74 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2025-06,3PL-ALLOC-Jun2025,52100 3PL Fulfillment Fees (Debit),DTC,2770.33,"DTC: 175 units / 249 total = $2,770.33"
Line,2025-06,3PL-ALLOC-Jun2025,52100 3PL Fulfillment Fees (Debit),TikTok,1171.46,"TikTok: 74 units / 249 total = $1,171.46"
Line,2025-06,3PL-ALLOC-Jun2025,52100 3PL Fulfillment Fees (Credit),,3941.79,Reverses unallocated 52100 3PL Fulfillment Fees for Jun 2025
JE Header,2025-07,3PL-ALLOC-Jul2025,,,1745.76,"Channel allocation for Jul 2025: $1,745.76 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (246 units) and TikTok (292 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2025-07,3PL-ALLOC-Jul2025,52100 3PL Fulfillment Fees (Debit),DTC,798.25,DTC: 246 units / 538 total = $798.25
Line,2025-07,3PL-ALLOC-Jul2025,52100 3PL Fulfillment Fees (Debit),TikTok,947.51,TikTok: 292 units / 538 total = $947.51
Line,2025-07,3PL-ALLOC-Jul2025,52100 3PL Fulfillment Fees (Credit),,1745.76,Reverses unallocated 52100 3PL Fulfillment Fees for Jul 2025
JE Header,2025-08,3PL-ALLOC-Aug2025,,,5372.01,"Channel allocation for Aug 2025: $5,372.01 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (261 units) and TikTok (331 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2025-08,3PL-ALLOC-Aug2025,52100 3PL Fulfillment Fees (Debit),DTC,2368.40,"DTC: 261 units / 592 total = $2,368.40"
Line,2025-08,3PL-ALLOC-Aug2025,52100 3PL Fulfillment Fees (Debit),TikTok,3003.61,"TikTok: 331 units / 592 total = $3,003.61"
Line,2025-08,3PL-ALLOC-Aug2025,52100 3PL Fulfillment Fees (Credit),,5372.01,Reverses unallocated 52100 3PL Fulfillment Fees for Aug 2025
JE Header,2025-09,3PL-ALLOC-Sep2025,,,5371.92,"Channel allocation for Sep 2025: $5,371.92 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (425 units) and TikTok (266 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2025-09,3PL-ALLOC-Sep2025,52100 3PL Fulfillment Fees (Debit),DTC,3304.00,"DTC: 425 units / 691 total = $3,304.00"
Line,2025-09,3PL-ALLOC-Sep2025,52100 3PL Fulfillment Fees (Debit),TikTok,2067.92,"TikTok: 266 units / 691 total = $2,067.92"
Line,2025-09,3PL-ALLOC-Sep2025,52100 3PL Fulfillment Fees (Credit),,5371.92,Reverses unallocated 52100 3PL Fulfillment Fees for Sep 2025
JE Header,2025-10,3PL-ALLOC-Oct2025,,,1606.25,"Channel allocation for Oct 2025: $1,606.25 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (276 units) and TikTok (359 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2025-10,3PL-ALLOC-Oct2025,52100 3PL Fulfillment Fees (Debit),DTC,698.15,DTC: 276 units / 635 total = $698.15
Line,2025-10,3PL-ALLOC-Oct2025,52100 3PL Fulfillment Fees (Debit),TikTok,908.10,TikTok: 359 units / 635 total = $908.10
Line,2025-10,3PL-ALLOC-Oct2025,52100 3PL Fulfillment Fees (Credit),,1606.25,Reverses unallocated 52100 3PL Fulfillment Fees for Oct 2025
JE Header,2025-11,3PL-ALLOC-Nov2025,,,4066.11,"Channel allocation for Nov 2025: $4,066.11 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (266 units) and TikTok (385 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2025-11,3PL-ALLOC-Nov2025,52100 3PL Fulfillment Fees (Debit),DTC,1661.42,"DTC: 266 units / 651 total = $1,661.42"
Line,2025-11,3PL-ALLOC-Nov2025,52100 3PL Fulfillment Fees (Debit),TikTok,2404.69,"TikTok: 385 units / 651 total = $2,404.69"
Line,2025-11,3PL-ALLOC-Nov2025,52100 3PL Fulfillment Fees (Credit),,4066.11,Reverses unallocated 52100 3PL Fulfillment Fees for Nov 2025
JE Header,2025-12,3PL-ALLOC-Dec2025,,,5120.31,"Channel allocation for Dec 2025: $5,120.31 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (181 units) and TikTok (361 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2025-12,3PL-ALLOC-Dec2025,52100 3PL Fulfillment Fees (Debit),DTC,1709.92,"DTC: 181 units / 542 total = $1,709.92"
Line,2025-12,3PL-ALLOC-Dec2025,52100 3PL Fulfillment Fees (Debit),TikTok,3410.39,"TikTok: 361 units / 542 total = $3,410.39"
Line,2025-12,3PL-ALLOC-Dec2025,52100 3PL Fulfillment Fees (Credit),,5120.31,Reverses unallocated 52100 3PL Fulfillment Fees for Dec 2025
JE Header,2026-01,3PL-ALLOC-Jan2026,,,3630.45,"Channel allocation for Jan 2026: $3,630.45 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (182 units) and TikTok (367 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2026-01,3PL-ALLOC-Jan2026,52100 3PL Fulfillment Fees (Debit),DTC,1203.54,"DTC: 182 units / 549 total = $1,203.54"
Line,2026-01,3PL-ALLOC-Jan2026,52100 3PL Fulfillment Fees (Debit),TikTok,2426.91,"TikTok: 367 units / 549 total = $2,426.91"
Line,2026-01,3PL-ALLOC-Jan2026,52100 3PL Fulfillment Fees (Credit),,3630.45,Reverses unallocated 52100 3PL Fulfillment Fees for Jan 2026
JE Header,2026-02,3PL-ALLOC-Feb2026,,,7201.08,"Channel allocation for Feb 2026: $7,201.08 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (174 units) and TikTok (290 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2026-02,3PL-ALLOC-Feb2026,52100 3PL Fulfillment Fees (Debit),DTC,2700.40,"DTC: 174 units / 464 total = $2,700.40"
Line,2026-02,3PL-ALLOC-Feb2026,52100 3PL Fulfillment Fees (Debit),TikTok,4500.68,"TikTok: 290 units / 464 total = $4,500.68"
Line,2026-02,3PL-ALLOC-Feb2026,52100 3PL Fulfillment Fees (Credit),,7201.08,Reverses unallocated 52100 3PL Fulfillment Fees for Feb 2026
JE Header,2026-03,3PL-ALLOC-Mar2026,,,3984.66,"Channel allocation for Mar 2026: $3,984.66 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (183 units) and TikTok (347 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2026-03,3PL-ALLOC-Mar2026,52100 3PL Fulfillment Fees (Debit),DTC,1375.84,"DTC: 183 units / 530 total = $1,375.84"
Line,2026-03,3PL-ALLOC-Mar2026,52100 3PL Fulfillment Fees (Debit),TikTok,2608.82,"TikTok: 347 units / 530 total = $2,608.82"
Line,2026-03,3PL-ALLOC-Mar2026,52100 3PL Fulfillment Fees (Credit),,3984.66,Reverses unallocated 52100 3PL Fulfillment Fees for Mar 2026
JE Header,2026-04,3PL-ALLOC-Apr2026,,,6223.32,"Channel allocation for Apr 2026: $6,223.32 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (210 units) and TikTok (749 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2026-04,3PL-ALLOC-Apr2026,52100 3PL Fulfillment Fees (Debit),DTC,1362.77,"DTC: 210 units / 959 total = $1,362.77"
Line,2026-04,3PL-ALLOC-Apr2026,52100 3PL Fulfillment Fees (Debit),TikTok,4860.55,"TikTok: 749 units / 959 total = $4,860.55"
Line,2026-04,3PL-ALLOC-Apr2026,52100 3PL Fulfillment Fees (Credit),,6223.32,Reverses unallocated 52100 3PL Fulfillment Fees for Apr 2026
JE Header,2026-05,3PL-ALLOC-May2026,,,9754.60,"Channel allocation for May 2026: $9,754.60 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (173 units) and TikTok (426 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2026-05,3PL-ALLOC-May2026,52100 3PL Fulfillment Fees (Debit),DTC,2817.27,"DTC: 173 units / 599 total = $2,817.27"
Line,2026-05,3PL-ALLOC-May2026,52100 3PL Fulfillment Fees (Debit),TikTok,6937.33,"TikTok: 426 units / 599 total = $6,937.33"
Line,2026-05,3PL-ALLOC-May2026,52100 3PL Fulfillment Fees (Credit),,9754.60,Reverses unallocated 52100 3PL Fulfillment Fees for May 2026
JE Header,2026-06,3PL-ALLOC-Jun2026,,,7068.93,"Channel allocation for Jun 2026: $7,068.93 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (208 units) and TikTok (233 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2026-06,3PL-ALLOC-Jun2026,52100 3PL Fulfillment Fees (Debit),DTC,3334.10,"DTC: 208 units / 441 total = $3,334.10"
Line,2026-06,3PL-ALLOC-Jun2026,52100 3PL Fulfillment Fees (Debit),TikTok,3734.83,"TikTok: 233 units / 441 total = $3,734.83"
Line,2026-06,3PL-ALLOC-Jun2026,52100 3PL Fulfillment Fees (Credit),,7068.93,Reverses unallocated 52100 3PL Fulfillment Fees for Jun 2026
JE Header,2026-01,PP-ALLOC-Jan2026,,,462.90,"Channel allocation for Jan 2026: $462.90 of unallocated 52110 Pick & Pack Fees spend this month, split proportionally between DTC (182 units) and TikTok (367 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
Line,2026-01,PP-ALLOC-Jan2026,52110 Pick & Pack Fees (Debit),DTC,153.46,DTC: 182 units / 549 total = $153.46
Line,2026-01,PP-ALLOC-Jan2026,52110 Pick & Pack Fees (Debit),TikTok,309.44,TikTok: 367 units / 549 total = $309.44
Line,2026-01,PP-ALLOC-Jan2026,52110 Pick & Pack Fees (Credit),,462.90,Reverses unallocated 52110 Pick & Pack Fees for Jan 2026
