Journal No,Journal Date,Account Name,Debits,Credits,Description,Name,Currency,Location,Class,Memo
3PL-ALLOC-Jun2025,6/30/25,52100 3PL Fulfillment Fees,2770.33,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Jun 2025: $3,941.79 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (175 units) and TikTok (74 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-Jun2025,,52100 3PL Fulfillment Fees,1171.46,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-Jun2025,,52100 3PL Fulfillment Fees,,3941.79,Reverses unallocated 3PL,,USD,,,
3PL-ALLOC-Jul2025,7/31/25,52100 3PL Fulfillment Fees,798.25,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Jul 2025: $1,745.76 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (246 units) and TikTok (292 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-Jul2025,,52100 3PL Fulfillment Fees,947.51,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-Jul2025,,52100 3PL Fulfillment Fees,,1745.76,Reverses unallocated 3PL,,USD,,,
3PL-ALLOC-Aug2025,8/31/25,52100 3PL Fulfillment Fees,2368.40,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Aug 2025: $5,372.01 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (261 units) and TikTok (331 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-Aug2025,,52100 3PL Fulfillment Fees,3003.61,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-Aug2025,,52100 3PL Fulfillment Fees,,5372.01,Reverses unallocated 3PL,,USD,,,
3PL-ALLOC-Sep2025,9/30/25,52100 3PL Fulfillment Fees,3304.00,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Sep 2025: $5,371.92 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (425 units) and TikTok (266 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-Sep2025,,52100 3PL Fulfillment Fees,2067.92,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-Sep2025,,52100 3PL Fulfillment Fees,,5371.92,Reverses unallocated 3PL,,USD,,,
3PL-ALLOC-Oct2025,10/31/25,52100 3PL Fulfillment Fees,698.15,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Oct 2025: $1,606.25 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (276 units) and TikTok (359 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-Oct2025,,52100 3PL Fulfillment Fees,908.10,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-Oct2025,,52100 3PL Fulfillment Fees,,1606.25,Reverses unallocated 3PL,,USD,,,
3PL-ALLOC-Nov2025,11/30/25,52100 3PL Fulfillment Fees,1661.42,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Nov 2025: $4,066.11 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (266 units) and TikTok (385 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-Nov2025,,52100 3PL Fulfillment Fees,2404.69,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-Nov2025,,52100 3PL Fulfillment Fees,,4066.11,Reverses unallocated 3PL,,USD,,,
3PL-ALLOC-Dec2025,12/31/25,52100 3PL Fulfillment Fees,1709.92,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Dec 2025: $5,120.31 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (181 units) and TikTok (361 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-Dec2025,,52100 3PL Fulfillment Fees,3410.39,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-Dec2025,,52100 3PL Fulfillment Fees,,5120.31,Reverses unallocated 3PL,,USD,,,
3PL-ALLOC-Jan2026,1/31/26,52100 3PL Fulfillment Fees,1203.54,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Jan 2026: $3,630.45 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (182 units) and TikTok (367 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-Jan2026,,52100 3PL Fulfillment Fees,2426.91,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-Jan2026,,52100 3PL Fulfillment Fees,,3630.45,Reverses unallocated 3PL,,USD,,,
3PL-ALLOC-Feb2026,2/28/26,52100 3PL Fulfillment Fees,2700.40,,DTC 3PL allocation,,USD,,DTC,"Channel allocation for Feb 2026: $7,201.08 of unallocated 52100 3PL Fulfillment Fees spend this month, split proportionally between DTC (174 units) and TikTok (290 units) - the only two channels fulfilled by this 3PL as of Aug 2026. Amazon FBA-native fees already correctly tagged and excluded; Wholesale excluded as historically hand-delivered, not shipped. Net zero impact on the account total, adds channel attribution only."
3PL-ALLOC-Feb2026,,52100 3PL Fulfillment Fees,4500.68,,TikTok 3PL allocation,,USD,,TikTok,
3PL-ALLOC-Feb2026,,52100 3PL Fulfillment Fees,,7201.08,Reverses unallocated 3PL,,USD,,,
