Month,DTC,TikTok,Amazon,Wholesale,Total Units,Note
2024-09,,,,,687,"JE already posted, confirmed by bookkeeper"
2024-10,,,,,28,"JE already posted, confirmed by bookkeeper"
2024-11,,,,,0,No sales / already posted period
2024-12,,,,,1,"JE already posted, confirmed by bookkeeper"
2025-04,831,95,0,107,1033,
2025-05,196,24,0,467,687,
2025-06,150,74,0,72,296,
2025-07,222,292,0,180,694,
2025-08,259,331,0,48,638,
2025-09,425,266,0,1332,2023,
2025-10,276,359,0,120,755,
2025-11,266,385,0,60,711,
2025-12,181,361,0,0,542,
2026-01,182,367,0,0,549,
2026-02,174,290,0,0,464,
2026-03,183,347,0,24,554,
2026-04,210,749,121,264,1344,
2026-05,173,426,318,0,917,
2026-06,208,233,301,0,742,
2026-07,234,220,390,12,856,
2026-08,55,24,90,0,169,
